"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
51;-1,25562047801682;0,500273042203643;-1,64409000259752;1,17978156848926;0,670650405615238;0,183372678432143;0,041047195343877;0,252326319270078;0,0952721011375814;0,0370301318168017;"ignorable";"MAR"
51;-1,2722619245689;0,50126128043247;-1,6569595834656;1,19069823371953;0,670515455276638;0,0725610470330628;0,0378830100670223;0,0827805309342325;0,10545613240548;0,0436016491912581;"spm";"MAR"
51;-1,20353459394283;0,49868343678558;-1,73285924711003;0,936216271051988;0,670650405615238;NA;NA;NA;NA;NA;"tseng";"MAR"
51;-1,26960686521615;0,494526873864275;-1,58781334265745;0,872690075619106;0,667509331726113;0,196366108388868;0,0405266700257462;0,19584265119369;0,102533488289481;0,0826753259172066;"class";"MAR"
51;-1,26562615720352;0,491707728936692;-1,63007122413158;1,17978156848926;0,662961561899155;0,152996299948325;0,0568345220144704;0,205067623015479;NA;0,0639019329853256;"spsp";"MAR"
52;-1,13213148668463;0,555069982341643;-1,254263311816;1,28829563927251;0,714183179700779;0,200102896729245;0,0459054788258532;0,276576360461817;0,105214386185407;0,0436775503662;"ignorable";"MAR"
52;-1,10812487426515;0,551829358814524;-1,25946272404285;1,28110515577007;0,71168885896265;0,0795576492229429;0,0420018338131272;0,0932888288238982;0,0993561684544826;0,0463241054679664;"spm";"MAR"
52;-1,26411004060227;0,542160734908387;-1,1249264033456;1,04732111447083;0,714183179700779;NA;NA;NA;NA;NA;"tseng";"MAR"
52;-1,32686817832375;0,548550694877906;-1,17369996533044;0,996295918919143;0,714698382403942;0,229611461110177;0,0455784873613168;0,223305141987657;0,0899178955984114;0,084569417906841;"class";"MAR"
52;-1,03242719215227;0,55606374597328;-1,46052588978052;1,28829563927251;0,704107343626336;0,199238707552945;0,0638399509533734;0,255925063835477;NA;0,0812857603525393;"spsp";"MAR"
53;-1,25803676109721;0,421877331827111;-1,21935318147404;1,16803640440502;0,665771375873806;0,181934476863456;0,0395271234753809;0,251158896170546;0,0958346732467942;0,0385177756061891;"ignorable";"MAR"
53;-1,23316445460755;0,423452098049595;-1,21617744624084;1,15683582861607;0,667240469191675;0,0729589401051732;0,0368141935982986;0,084571836745917;0,105974807892328;0,0448110694934222;"spm";"MAR"
53;-1,12276756396367;0,404277813568095;-1,49917779949827;0,882804122416872;0,665771375873806;NA;NA;NA;NA;NA;"tseng";"MAR"
53;-1,28299052626141;0,427560547421085;-1,26098292629165;0,978794685541586;0,666997883110734;0,214165148354075;0,0394352539207974;0,216426542205886;0,0889855360086829;0,0854813224750899;"class";"MAR"
53;-1,19547610243388;0,423378578453697;-1,31355562260429;1,16803640440502;0,651287570361605;0,131049945831592;0,0539448013351723;0,169791989784824;NA;0,0621134928060648;"spsp";"MAR"
54;-1,23604367724949;0,562199000342174;-1,57795810009446;1,21579055616;0,756704469801116;0,191849276325055;0,0453542870130956;0,264128736938675;0,102032780505428;0,0433602428893887;"ignorable";"MAR"
54;-1,20426561174741;0,559829006617154;-1,60638516140527;1,21923962983068;0,752885330863694;0,0808961438080064;0,0419808348062033;0,0949530644904021;0,0939195860477219;0,0445435397750007;"spm";"MAR"
54;-1,51895926747467;0,568836717624049;-1,36748635223877;0,983020269648348;0,756704469801116;NA;NA;NA;NA;NA;"tseng";"MAR"
54;-1,14399499911649;0,559680766170188;-1,5794508514666;0,862569656077707;0,755921957959826;0,207401891854367;0,0448244593134128;0,20065886109922;0,111882802031362;0,0753813210546434;"class";"MAR"
54;-1,31566030048956;0,556359940875958;-1,41337896621042;1,21579055616;0,74617069188302;0,212820142235267;0,0633132676286914;0,255357120203525;NA;0,0847102126729393;"spsp";"MAR"
55;-1,13319089924201;0,44007814677679;-1,49307818684523;1,10537191837121;0,707869076054125;0,176092335860795;0,044702666776369;0,241926029457679;0,0931639237156186;0,0411041714994041;"ignorable";"MAR"
55;-1,14241788643694;0,428145840390289;-1,46880694409397;1,10719594370262;0,706528485760234;0,0770551155446552;0,0408251526839832;0,0901056806420841;0,100081852657797;0,0450834877016676;"spm";"MAR"
55;-1,05365652346373;0,432354041512994;-1,5910247123471;0,868336780062314;0,707869076054125;NA;NA;NA;NA;NA;"tseng";"MAR"
55;-1,12037471363611;0,429869301370849;-1,47714053568738;0,861982816485853;0,705815454992168;0,193958317766453;0,0442007969732981;0,198314332895353;0,108152905229654;0,0819838910865763;"class";"MAR"
55;-1,08618710635186;0,426775725840563;-1,6089849774363;1,10537191837121;0,688281417193498;0,183680191574548;0,0612521376569199;0,214951262279536;NA;0,0730922835015614;"spsp";"MAR"
56;-1,37933231605336;0,554026849157454;-1,45493825470041;1,19962361970765;0,719085776474763;0,18915019629392;0,0435537034598224;0,260704410810352;0,101385316076568;0,0440249881967871;"ignorable";"MAR"
56;-1,37931209942121;0,549680352665367;-1,47533789312659;1,190358287396;0,724225091546665;0,080769442068431;0,0403795714982277;0,0948250883904945;0,0976289880747722;0,0462224315433123;"spm";"MAR"
56;-1,51993529631179;0,521232906726343;-1,76110813731123;1,00726024177408;0,719085776474763;NA;NA;NA;NA;NA;"tseng";"MAR"
56;-1,48562230640831;0,556994046279519;-1,48221085517052;0,950781368518795;0,720850460427848;0,214569860810248;0,0433314859824578;0,215593911828581;0,0982168854006528;0,0855242529714009;"class";"MAR"
56;-1,31968224674912;0,555501610802724;-1,56837350968934;1,19962361970765;0,707112430765322;0,176188897126095;0,0601342770246322;0,216770264365709;NA;0,081256208048647;"spsp";"MAR"
57;-1,26372648011575;0,516598396952918;-1,55700498446524;1,16217341573585;0,729844792238555;0,184115979402011;0,0451277371633001;0,253946434647257;0,0988383381512509;0,0437428749953737;"ignorable";"MAR"
57;-1,28694470366902;0,515439640422107;-1,5337875534258;1,16188702562273;0,733862020232043;0,0802301414707089;0,0415378066964296;0,0952324789177866;0,0963755748704355;0,0457406252741728;"spm";"MAR"
57;-1,22222834427569;0,51083732828022;-1,63703893848085;0,922352271590856;0,729844792238555;NA;NA;NA;NA;NA;"tseng";"MAR"
57;-1,25315916184892;0,523868777503662;-1,59957718999101;0,965633806332799;0,727839804676666;0,22246024573523;0,0447304012523926;0,218378755695255;0,0955975764238324;0,0824027644399463;"class";"MAR"
