"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
1;-1,20091873919261;0,498290938352115;-1,63332359653803;0,947196527585457;0,722064858174045;0,0683968411187174;0,0139196143488299;0,067426110041417;0,0303138036073766;0,0251907415921427;"class";"MAR"
1;-1,1993284979634;0,501595096729306;-1,58599581902843;1,21571474181127;0,718798226509915;0,0617039426072506;0,0196056246695997;0,0799671948192084;NA;0,0252315949220688;"spsp";"MAR"
2;-1,17941190829529;0,495487772174264;-1,49414855863304;0,824927541704153;0,725973854410396;0,0637205301679256;0,0135584772367067;0,0606047309781911;0,0366646097715136;0,0246946476264787;"class";"MAR"
2;-1,18783994910168;0,492466702206348;-1,40694365881722;1,23079139938472;0,725588043408416;0,0590713403165624;0,0192649411434541;0,0776955213638167;NA;0,0252556862976776;"spsp";"MAR"
3;-1,18760582490831;0,499200035353259;-1,48335524012944;0,922686675746497;0,694990278817627;0,0665892447981828;0,013396810333838;0,0655883077464721;0,0309659737175253;0,0262498943345971;"class";"MAR"
3;-1,18148597284878;0,501034892277335;-1,48566951868321;1,18837690792625;0,697257440275174;0,0638654022192007;0,019122853501541;0,0866987957427112;NA;0,0243616019257505;"spsp";"MAR"
4;-1,2898224145541;0,497174316867883;-1,42391043234064;0,940143586844164;0,728111731836939;0,0674277770725445;0,014161666271396;0,0672686119783808;0,0307722818078373;0,0251401006772097;"class";"MAR"
4;-1,22702420767552;0,495925832573198;-1,50723186754375;1,19699989258474;0,729444705528371;0,0603074188508037;0,0201193483801093;0,0816403488705264;NA;0,026220885016039;"spsp";"MAR"
5;-1,21309976030277;0,489446037900269;-1,40594182026848;0,945900666332719;0,706579531336535;0,0685060838555741;0,0135172931099137;0,0669799896249978;0,0297905824595045;0,0252578412770586;"class";"MAR"
5;-1,21269419209821;0,488923416932324;-1,39295296986738;1,20583468174776;0,704844303473695;0,0589567234864643;0,0190780897098658;0,0779986917521169;NA;0,0240430590673009;"spsp";"MAR"
6;-1,31091725207532;0,499942154471553;-1,3722944138324;0,961449029672565;0,711856849026945;0,0697376909637541;0,0134948961288537;0,0680862748148728;0,0295026868926575;0,0254769346441803;"class";"MAR"
6;-1,28352761113709;0,498914001546161;-1,42030700477782;1,23495332426668;0,708197246675895;0,0560314779491226;0,0189053780428462;0,0735962221104143;NA;0,0241263290690731;"spsp";"MAR"
7;-1,15007963326476;0,483512126862734;-1,53136834458634;0,928421008612659;0,706851569083444;0,0675889246310724;0,0135217881683682;0,0661573795641767;0,0310183370932485;0,0260681713677307;"class";"MAR"
7;-1,15579138693965;0,480203732753282;-1,51220872459575;1,20425316430316;0,706341713469443;0,0626680880163513;0,0191329187904794;0,0827980293314981;NA;0,0247357369931563;"spsp";"MAR"
8;-1,18260516982941;0,477186757116148;-1,50395920313468;1,0289741570819;0,694717262290867;0,0714621424789906;0,0133547504635406;0,0717796010351139;0,0267117437323479;0,026887717758409;"class";"MAR"
8;-1,18584330264911;0,47532335970169;-1,48080586029266;1,2337164457132;0,697550970962068;0,0668749379679004;0,0189491314016007;0,0855349669260771;NA;0,0244049732034284;"spsp";"MAR"
9;-1,31829844782025;0,495043362611472;-1,42706820614932;0,911963631333474;0,699753010005979;0,0664140553817972;0,0134222032432401;0,0651389209148468;0,0315448383857131;0,0261792462272051;"class";"MAR"
9;-1,29137573964005;0,490595351981518;-1,4490451983975;1,19462593218796;0,699473702857023;0,0612306316128996;0,0190795183531779;0,0821788081311337;NA;0,0243252850276081;"spsp";"MAR"
10;-1,15361791961792;0,506097546156443;-1,66669203889961;0,845224211251504;0,702820641139167;0,0629108397043907;0,0135610491386904;0,0612822300903006;0,0352374295350995;0,025829012175049;"class";"MAR"
10;-1,15613905756921;0,508424825212468;-1,59425629738039;1,23617553995679;0,70332811888872;0,0640748921316103;0,0193043778141329;0,0841241759256076;NA;0,0243151026643003;"spsp";"MAR"
11;-1,1456114217635;0,493314367675022;-1,61214790967943;0,953932347931795;0,705725655928977;0,0680666622572684;0,0133044060608912;0,0675217772603316;0,0297306302721204;0,0257881693842999;"class";"MAR"
11;-1,16465737379234;0,492734283000198;-1,56687834864503;1,24340908786393;0,706045733134304;0,0631345586109557;0,0188778592689093;0,0854313912568003;NA;0,0247045866810565;"spsp";"MAR"
12;-1,16552814896372;0,510502523932706;-1,59892881133943;0,934751305236223;0,708552287948496;0,0671259014848686;0,0136453393713279;0,0664640348891564;0,0307384561494257;0,0258658093139072;"class";"MAR"
