"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
1;-1,18606110613744;0,500081802639683;-1,61537596864916;1,21571474181127;0,720184676785789;0,0602594762302965;0,0139880469407447;0,0829327922459418;0,0317416462988777;0,0131708909216085;"ignorable";"MAR"
1;-1,20581631138548;0,501761867241829;-1,59791202667693;1,21566096748562;0,722379856392421;0,0250320078704103;0,0129820304571896;0,0289561180331009;0,0309544382158788;0,0141699591700705;"spm";"MAR"
2;-1,14090292930657;0,492056458750234;-1,49747189120362;1,23079139938472;0,72754834402821;0,0610050256164356;0,0137541584802046;0,0838871381989999;0,0320476960410114;0,0131733078710426;"ignorable";"MAR"
2;-1,13160231667119;0,491423117686746;-1,49855892577453;1,2273827928528;0,726892787589919;0,0252733866950369;0,0127461007617525;0,0289680916041525;0,0307607393262678;0,0140886419939578;"spm";"MAR"
3;-1,18025345149433;0,50140681537829;-1,48641701258531;1,18837690792625;0,696298957114946;0,0588471162835728;0,0135270968812971;0,0810100787816247;0,0311081004092178;0,0127639564874249;"ignorable";"MAR"
3;-1,16381117851353;0,499533649142563;-1,49154749674717;1,19086947549148;0,696962291145575;0,0242436610474663;0,012485460106699;0,0279354292314999;0,0320831662762632;0,01417213090533;"spm";"MAR"
4;-1,26204142417371;0,494060287783834;-1,44212097845144;1,19699989258474;0,731502716955988;0,0597352018424714;0,0143389423291415;0,0821273612928183;0,0316848011368137;0,0134774224376339;"ignorable";"MAR"
4;-1,24310994246649;0,493838701751267;-1,45204764335835;1,20179318432919;0,730353129483336;0,0254189817476297;0,013177935600758;0,0293916752370998;0,0306162624757271;0,0142276933012238;"spm";"MAR"
5;-1,21129672440196;0,494427683059501;-1,39841873469969;1,20583468174776;0,710099038666813;0,0595961394923682;0,0136815352006981;0,0821267374244693;0,0313002914675913;0,0127509234510267;"ignorable";"MAR"
5;-1,2105063770812;0,492617585593271;-1,38998615392139;1,21115413932861;0,709015953182231;0,024317102992124;0,0125843464094685;0,0281270676734602;0,0315370250681838;0,014025177357155;"spm";"MAR"
6;-1,31367290456908;0,495823727002277;-1,36203477649352;1,23495332426668;0,71262009562914;0,0609120685603773;0,0136033346284096;0,0839885683362424;0,032005452638106;0,0130089012663008;"ignorable";"MAR"
6;-1,30849969986138;0,497847666742583;-1,36208006979871;1,23653518731965;0,710739809935483;0,0245626616004732;0,0125731698341315;0,0284659854430248;0,0314611331471939;0,0141591367946549;"spm";"MAR"
7;-1,16133284380518;0,479535600771234;-1,50959875198242;1,20425316430316;0,708310766956644;0,0596115550512608;0,0136491090651026;0,0821220706946831;0,031511008337181;0,0130982283471648;"ignorable";"MAR"
7;-1,14945259377039;0,482016769649102;-1,51869894124772;1,20335113587878;0,708082689832126;0,0245984531883646;0,0126554151805731;0,0285416565549886;0,0315791927364531;0,0142508567214443;"spm";"MAR"
8;-1,18130630393784;0,473235035487002;-1,48793479728459;1,2337164457132;0,700300831843486;0,0607747069170219;0,0135232611838469;0,0838265210513042;0,0320453235291598;0,0129757072530292;"ignorable";"MAR"
