"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
50;-1,16131106102913;0,498697909553175;-1,59815600950692;0,874080003929562;0,707369161964417;0,0652013331245913;0,0137159787952678;0,0631604337510559;0,0335003551385153;0,0257357886152517;"class";"MAR"
50;-1,19780474636963;0,499943280886911;-1,56221415739199;1,21618065004927;0,704789658955159;0,056382442845475;0,0193386679459167;0,076247001236169;NA;0,0243449225848388;"spsp";"MAR"
51;-1,27165937957079;0,491002309572533;-1,47203121835804;0,922761564183356;0,700928645222579;0,0658848823785588;0,0133616856923109;0,0655944805850673;0,0310321949297779;0,0257316303155323;"class";"MAR"
51;-1,24596431271562;0,495453610883505;-1,45166844315928;1,21489431430692;0,703371388073784;0,0611379068136939;0,0189488791069444;0,0794104328558152;NA;0,0239442137623869;"spsp";"MAR"
52;-1,25680722114031;0,501088103648587;-1,47716538184471;0,96848454711116;0,70920392627197;0,069673288118996;0,0136282180515459;0,0685633646593675;0,0291714467935908;0,0258301865583407;"class";"MAR"
52;-1,24409748317482;0,50163515523921;-1,48613883751181;1,21373925548083;0,707078139910599;0,0622495377378957;0,0192491455670829;0,0844501799356005;NA;0,0247904747640922;"spsp";"MAR"
53;-1,29505976895303;0,501627057127923;-1,43931167459156;0,928617530473796;0,72047695965547;0,0667001821229429;0,0135864655112042;0,0663523772099501;0,0311441972297229;0,025127620320515;"class";"MAR"
53;-1,27229770448466;0,500322668729663;-1,4198590597118;1,20492385097089;0,717305668074151;0,063796802483704;0,0192201079009134;0,0855472268700354;NA;0,0254335669476411;"spsp";"MAR"
54;-1,10555246178846;0,462866453862259;-1,55393576577542;0,907347767124759;0,680348892233878;0,0656141139807072;0,0130549219440781;0,0643053550772566;0,0312723421851075;0,026450453223951;"class";"MAR"
54;-1,10552542101556;0,463544792921525;-1,50961013181091;1,20993312296476;0,67995002772676;0,0583511559286931;0,0184925323329965;0,0800297076344346;NA;0,0224888180217664;"spsp";"MAR"
55;-1,20606213652873;0,502763932760777;-1,49456142173729;0,789884561021459;0,719311364470734;0,0617814258184798;0,0136584550982379;0,0585950295926324;0,0386861640800222;0,0249681267417345;"class";"MAR"
55;-1,14210012053491;0,50928431575238;-1,52170862731947;1,21561946259019;0,715434999291528;0,0586440128751097;0,0193185147652336;0,0777795714276731;NA;0,0248393158245766;"spsp";"MAR"
56;-1,14671918276018;0,497909189085948;-1,51550838444713;0,891423088830108;0,697328799331137;0,0650858825468658;0,0132916502076178;0,0638341961250832;0,0325391201916025;0,0259747140818883;"class";"MAR"
56;-1,11763132088113;0,49480744864835;-1,49884600662111;1,24125118702992;0,696205696544359;0,0684729946275262;0,0189211186924871;0,0888839224861488;NA;0,0240203668093857;"spsp";"MAR"
57;-1,2251512544602;0,493740342414404;-1,38614987116367;1,01588422619791;0,688152319231834;0,0716994720169036;0,0130577320316412;0,0707051156865269;0,0268598625765979;0,0261061023302114;"class";"MAR"
57;-1,1804144773413;0,491846467149844;-1,46459640781183;1,23653200104674;0,686055757197586;0,0603248070335447;0,0184146737698341;0,0799932820584416;NA;0,0229152870183079;"spsp";"MAR"
