"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
50;-1,16907320643633;0,502943159798066;-1,61804902228528;1,21618065004927;0,709039651193359;0,0601424803689029;0,0138916268377112;0,0829066736728719;0,0316420469729822;0,0130496491681139;"ignorable";"MAR"
50;-1,1783378707118;0,499565343137361;-1,6101468524843;1,21534647642615;0,710495990189983;0,0246677368283905;0,012832797131125;0,0286253088330563;0,0314694147880724;0,0142336309015267;"spm";"MAR"
51;-1,2300985740494;0,4919487381801;-1,47892257865772;1,21489431430692;0,702497573825445;0,0599036853928318;0,0134958380464817;0,0825719494301313;0,0315607349081634;0,012684626318363;"ignorable";"MAR"
51;-1,23435992712315;0,49234132465465;-1,48243472313481;1,21421181445547;0,701385449555537;0,0241110989161963;0,0124864168757434;0,0278716372608171;0,031880980611878;0,0140468836215897;"spm";"MAR"
52;-1,25366590961568;0,504894999927551;-1,46887860664977;1,21373925548083;0,71091417691852;0,0600753788126742;0,0137556613789302;0,0828179272377456;0,0316864284566327;0,0131325746922746;"ignorable";"MAR"
52;-1,24883743176137;0,50356509893815;-1,47164408895163;1,20826414565641;0,713963566341307;0,0247709413892478;0,0127315835515394;0,0287993835626816;0,0313190476135836;0,0142597067082722;"spm";"MAR"
53;-1,26021835336473;0,49738444481515;-1,44580675347154;1,20492385097089;0,72249282172194;0,0598850828576434;0,0137292445388528;0,0823460542523101;0,0316481435901951;0,0131369983141538;"ignorable";"MAR"
53;-1,24522653833552;0,500293790734622;-1,46089413815141;1,20386090581506;0,722507996740203;0,0250714981773406;0,0127325530049788;0,0288391902023229;0,0309478112718143;0,0141107838970671;"spm";"MAR"
54;-1,07584073978342;0,460323215498442;-1,56688557918809;1,20993312296476;0,680774106228489;0,0593705781621521;0,0131695277573847;0,0819244074331557;0,0311127677503515;0,0123338528475081;"ignorable";"MAR"
54;-1,06218221564252;0,463052815650387;-1,57670434612465;1,21082803095984;0,680808430872914;0,0234439175988294;0,0121613126957065;0,0271342050500693;0,0328437159056092;0,0140856913271011;"spm";"MAR"
55;-1,14968628099167;0,50684279063147;-1,49640766622372;1,21561946259019;0,721048117052409;0,0602812508963927;0,0138867467895208;0,0829383555053848;0,0317253804036258;0,0131203051802735;"ignorable";"MAR"
55;-1,16207254092535;0,507542861190862;-1,47298451095351;1,21280035007139;0,723612089009525;0,0250483074603216;0,0128841001226338;0,0289216220218208;0,0309028006852818;0,0141315536621366;"spm";"MAR"
56;-1,11699645323549;0,495731132347998;-1,50171375554339;1,24125118702992;0,697406082910574;0,0609186821314551;0,0134290109689466;0,0841272937748862;0,0319804538396127;0,0126960373203135;"ignorable";"MAR"
56;-1,13119959232002;0,495849078306848;-1,47640712319134;1,24018027726114;0,696222688685096;0,0239856731905079;0,0123439687637103;0,0278231536858126;0,0321197096548158;0,0141285615123471;"spm";"MAR"
