"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"1";1;-0,924509341364658;0,513014076668629;-2,04017499302187;2,19226429452143;0,701997074480956;0,226393551976965;0,0302543677289919;0,317353382308496;0,115006483569332;0,0284353805750572;"ignorable";"MAR"
"2";2;-1,20140154944525;0,488329798640803;-1,04715169089366;2,3393865500544;0,732819787354569;0,24110508793342;0,029907984259472;0,3379503114918;0,121985451294785;0,028464737186718;"ignorable";"MAR"
"3";3;-1,26450938977764;0,537085080386927;-1,58596643109289;2,34533931987236;0,693527428768014;0,241238836917402;0,0295256253323453;0,338546745128684;0,122114045967413;0,0278360671809512;"ignorable";"MAR"
"4";4;-1,13957118611988;0,506813893133758;-1,72803610324811;2,29380328406308;0,721698448393085;0,23683229557147;0,0310592375774075;0,331972207400296;0,120438848994007;0,0294043401404244;"ignorable";"MAR"
"5";5;-1,15566793645142;0,524432852218615;-1,70943361143788;2,26340826463868;0,688622966196176;0,232843958311893;0,0294509673444248;0,326564046494257;0,117716546218916;0,0267068990337722;"ignorable";"MAR"
"6";6;-1,61307710160343;0,514975981464928;-1,22125924763839;2,29407003166881;0,652024471828622;0,235312805499722;0,0285682831741137;0,330577488536714;0,119097265720111;0,0260125911719483;"ignorable";"MAR"
"7";7;-1,06234500261209;0,499007633764376;-1,82036156101686;2,24965353724376;0,705979376837708;0,232127783532782;0,0300420406495218;0,32532373973818;0,117500140097625;0,0278372752815172;"ignorable";"MAR"
"8";8;-1,04500127366522;0,535188690999072;-2,04943139070261;2,18972562452886;0,706052513726067;0,226324273360748;0,0302890010172156;0,317350408811231;0,11521405034189;0,0290908181448781;"ignorable";"MAR"
"9";9;-1,32194364713356;0,483209710303097;-1,41168184648899;2,31344105045509;0,717432725457181;0,238552903298616;0,0307437591963703;0,334341623762438;0,120825433210628;0,0291369164994346;"ignorable";"MAR"
"10";10;-1,34770717852274;0,46906130564167;-1,32970535123099;2,26620316144456;0,666259524181803;0,232812684634516;0,0279013503130109;0,326759545528308;0,117703251419348;0,026236432216807;"ignorable";"MAR"
"11";11;-1,47907863713003;0,537919570939954;-1,29909233403569;2,15913438139188;0,659601319200528;0,222358545692203;0,0294287260156864;0,311902308572314;0,112332961635503;0,0265221950816844;"ignorable";"MAR"
