"";"sample";"intercept";"time";"treatment";"sigma.b";"sigma";"se.intercept";"se.time";"se.treatment";"se.sigma.b";"se.sigma";"model";"scenario"
"1";1;-0,924509341364658;0,513014076668629;-2,04017499302187;2,19226429452143;0,701997074480956;0,0512540403767469;0,000915326766681067;0,100713169262643;0,115006483569332;0,0284353805750572;"ignorable";"MAR"
"2";1;-0,993104303180641;0,508085623475793;-1,92755088340511;2,18549629136006;0,698374226042228;0,0539851919987492;0,0277277533484478;0,0621805798420037;0,10958894970901;0,0219734720258434;"spm";"MAR"
"3";1;-0,825809434786004;0,507180704082778;-1,65472262332878;0,5195953926574;0,704532795685779;0,0544612267965605;0,0279722677245655;0,0627288669616128;0,0259802306602612;0,0221691735766549;"spm+class";"MAR"
"4";2;-1,20140154944525;0,488329798640803;-1,04715169089366;2,3393865500544;0,732819787354569;0,0581316634273823;0,000894487522464825;0,114210413037404;0,121985451294785;0,028464737186718;"ignorable";"MAR"
"5";2;-1,17397505782398;0,487991173438011;-1,05555329904255;2,34403864237581;0,728814209012119;0,0556918799186965;0,0277483157665111;0,0633257109389004;0,117060231409908;0,0223694247100152;"spm";"MAR"
"6";2;-1,10673472255343;0,480368071892006;-1,54344219393137;0,427835663606119;0,724578206508692;0,0553681884029154;0,0275870373928218;0,0629576490203465;0,0213902293748445;0,0222336556859668;"spm+class";"MAR"
"7";3;-1,26450938977764;0,537085080386927;-1,58596643109289;2,34533931987236;0,693527428768014;0,058196176437261;0,000871762551266031;0,114613898637226;0,122114045967413;0,0278360671809512;"ignorable";"MAR"
"8";3;-1,21311755626172;0,532250562311315;-1,62600934842855;2,34664627886303;0,690863185839812;0,0534168798290482;0,0267731729573885;0,0611962582640522;0,117323565940659;0,0216318051701762;"spm";"MAR"
"9";3;-1,50836264708436;0,535572774180707;-1,43415620771362;0,589141601753299;0,698479930684256;0,0540057993130401;0,0270683463613442;0,0618709452342142;0,0294565074551225;0,0218702916886128;"spm+class";"MAR"
"10";4;-1,13957118611988;0,506813893133758;-1,72803610324811;2,29380328406308;0,721698448393085;0,056089536225652;0,000964676238889842;0,110205546486225;0,120438848994007;0,0294043401404244;"ignorable";"MAR"
"11";4;-1,12636240992297;0,509092078895777;-1,67845595386166;2,29767995064462;0,717848435837712;0,0560448287170547;0,0284501532095171;0,0641301647423397;0,114865492076521;0,0226523645992293;"spm";"MAR"
"12";4;-1,30708911979511;0,506075225566472;-1,51102585666595;0,518845979047623;0,714875577441544;0,0558127265047545;0,0283323308444319;0,0638645792322901;0,0259419200967537;0,0225621005843628;"spm+class";"MAR"
"13";5;-1,15566793645142;0,524432852218615;-1,70943361143788;2,26340826463868;0,688622966196176;0,0542163089223505;0,000867359477522378;0,106644076462703;0,117716546218916;0,0267068990337722;"ignorable";"MAR"
"14";5;-1,17389053573051;0,521717795421611;-1,64514797664029;2,26778453334608;0,698955732886287;0,0530636251599214;0,027507468810409;0,0606225837477142;0,113109590506349;0,0214273977300167;"spm";"MAR"
"15";5;-1,34289045478881;0,524930141249039;-1,44933112540943;0,578393044889951;0,68829133458164;0,0522539914916511;0,0270877686652602;0,0596976259142582;0,0289207426863141;0,0210994132445722;"spm+class";"MAR"
"16";6;-1,61307710160343;0,514975981464928;-1,22125924763839;2,29407003166881;0,652024471828622;0,05537211643215;0,000816146803516349;0,109281475927242;0,119097265720111;0,0260125911719483;"ignorable";"MAR"
"17";6;-1,61611484349212;0,510188371876651;-1,22492645732502;2,27286187769914;0,644907880219085;0,0494069164007822;0,0257361745294947;0,056897102528669;0,113643065078158;0,0201169386990117;"spm";"MAR"
"18";6;-1,48746332393459;0,507964746075589;-1,52315906113978;0,510702206737547;0,653391759857697;0,0500568732530558;0,026074737605779;0,0576455925121812;0,0255357747015648;0,0203786370257237;"spm+class";"MAR"
"19";7;-1,06234500261209;0,499007633764376;-1,82036156101686;2,24965353724376;0,705979376837708;0,053883307887842;0,00090252420638752;0,105835535637235;0,117500140097625;0,0278372752815172;"ignorable";"MAR"
"20";7;-1,05964577657275;0,495899914671164;-1,7809895941916;2,24190266007428;0,70397351421177;0,0543365501266367;0,0274059207799764;0,0617112062731034;0,112114992034378;0,021841045617243;"spm";"MAR"
"21";7;-1,27283995959035;0,493861564326973;-1,63180186571481;0,529406146661442;0,704239382852446;0,0543570610726269;0,0274162679296805;0,0617344992885992;0,0264696102844152;0,0218162729634435;"spm+class";"MAR"
"22";8;-1,04500127366522;0,535188690999072;-2,04943139070261;2,18972562452886;0,706052513726067;0,0512226767122706;0,000917423582620887;0,100711281972656;0,11521405034189;0,0290908181448781;"ignorable";"MAR"
"23";8;-1,12434048847802;0,543995297513445;-2,04751782439955;2,19797463688403;0,710782383671653;0,0551346647843939;0,0279799731427691;0,0639126844796993;0,109823924072778;0,0225990684400869;"spm";"MAR"
"24";8;-1,61862140809466;0,529670677537626;-1,53478859536309;0,554756606715489;0,70471718834425;0,0546641929768807;0,0277412150915738;0,0633672806416268;0,027737523484096;0,0223974162677113;"spm+class";"MAR"
"25";9;-1,32194364713356;0,483209710303097;-1,41168184648899;2,31344105045509;0,717432725457181;0,0569074876721987;0,000945178729524403;0,111784321380104;0,120825433210628;0,0291369164994346;"ignorable";"MAR"
"26";9;-1,28066082179266;0,488249364475627;-1,46518491337105;2,30687923000344;0,720372832427923;0,0559791244365573;0,028452522749634;0,0642462268209009;0,115345417950133;0,0227119761214032;"spm";"MAR"
"27";9;-1,03248464678746;0,483206933422397;-1,2857469027821;0,474388493398883;0,709020688595679;0,055096961353161;0,0280041479883271;0,0632337766566632;0,0237197718538148;0,0223547891843582;"spm+class";"MAR"
"28";10;-1,34770717852274;0,46906130564167;-1,32970535123099;2,26620316144456;0,666259524181803;0,0542017461267304;0,000778485349289355;0,106771800593866;0,117703251419348;0,026236432216807;"ignorable";"MAR"
"29";10;-1,33250959732411;0,470280738575325;-1,360097729649;2,26722481076622;0,662738049384326;0,0509042800313947;0,0256341813591298;0,0580312282053612;0,113368581127413;0,0205092143257626;"spm";"MAR"
"30";10;-1,21006782540869;0,463868247586212;-1,43023069505309;0,511473435343665;0,668870854336114;0,0513753349977935;0,0258713933827474;0,0585682336756079;0,0255726195496231;0,0207012714966948;"spm+class";"MAR"
"31";11;-1,47907863713003;0,537919570939954;-1,29909233403569;2,15913438139188;0,659601319200528;0,0494433228423514;0,000866049914906337;0,0972830500927387;0,112332961635503;0,0265221950816844;"ignorable";"MAR"
"32";11;-1,46497915106513;0,535623969958693;-1,287975924305;2,15643799717864;0,661661648971298;0,0512040552677435;0,0269522664028011;0,0587254267194132;0,107770129172365;0,0207576995262909;"spm";"MAR"
"33";11;-1,36534596990944;0,534888733256274;-1,57086248200554;0,541900444314993;0,654348767350365;0,050638130487565;0,0266543817462212;0,0580763733920208;0,0270958597723514;0,0205288672609463;"spm+class";"MAR"
"34";12;-1,03612549121387;0,496280256877496;-1,6780704101002;2,24649285900532;0,710808838369735;0,0538711204671954;0,00101905392893543;0,105869562070246;0,117904524074352;0,029773570347816;"ignorable";"MAR"
"35";12;-1,07278327511717;0,493644706234872;-1,65548120910064;2,24348486609437;0,711098625545839;0,055701287343357;0,0290567451575944;0,0646881791694983;0,112034895924424;0,0228348360361699;"spm";"MAR"
"36";12;-1,17653955190166;0,494659423576326;-1,41357613814545;0,532400763802353;0,703015841588996;0,0550681519781273;0,0287264660445662;0,0639528873735097;0,0266199132161765;0,0225723971246468;"spm+class";"MAR"
